case_id,fen,source,source_kind,category,game_index,ply,played_move
validation_0378,rnbqkb1r/p1p2pp1/1p1p1n1p/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+in_check,,,
validation_0310,r4rk1/2p2pp1/p3p2p/qpQn4/3P4/4PN2/PPR1KPPP/7R w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,
validation_0197,b3k3/3r4/p2p2p1/3P2pp/2BK4/PP4P1/5P2/4R3 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+in_check,,,
pgn_v1_1_vs_v1_g13_p75,8/1k1K4/6p1/6P1/3B4/3r4/p7/8 w - - 7 38,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,13,75,d7e7
pgn_nn_vs_material_g2_p7,r1bqkbnr/ppp2ppp/2n5/3pp3/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 2 4,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+quiet,2,7,h3g1
validation_0301,rnb1k2r/ppp1Bp1p/3b2p1/3N4/6n1/5N2/PPP2PPP/2KR1B1R b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,
pgn_nn_vs_stockfish_full_g6_p42,1r4k1/4qpp1/p6p/2pBB3/Pp2PPb1/3Q4/1KP3PP/3R3R b - - 1 21,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_full.pgn,pgn,middle_17_23+capture_available,6,42,b4b3
validation_0322,r1bqk2r/pp2bppp/2n1pn2/3p4/3P4/2PB4/PP1NNPPP/R1BQ1RK1 b kq -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
pgn_nn_vs_stockfish_2000_g8_p31,1n1qr1k1/1p3ppp/1b6/3p1b2/8/2P1PN1n/RB1NB1PP/4QRK1 w - - 2 16,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+in_check,8,31,g1h1
pgn_v1_1_vs_v1_g8_p89,8/6p1/8/8/2R5/Kp3k2/p7/r7 w - - 1 45,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+capture_available,8,89,a3b3
validation_0041,8/5k2/8/pp4RP/3r1K2/1P5P/P7/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+in_check,,,
validation_0206,4r1k1/1p3p2/2N3p1/q2pb1p1/8/P3P2P/1QR2PP1/5BK1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
pgn_nn_vs_material_g1_p52,r1bqkb1r/pppnp1pp/4R2B/1N1QNP2/2B3P1/P6P/1PP5/1K1R4 b - - 0 26,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,1,52,g7h6
pgn_nn_vs_stockfish_2000_g2_p170,5Q2/8/4k3/8/5K2/7r/5R2/8 b - - 0 85,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,endgame_2_10+quiet,2,170,h3h4
validation_0022,R7/8/8/4r3/7P/1Bk5/p4PP1/6K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+capture_available,,,
validation_0317,r1b1k2r/1pq1np1p/p3p1p1/2p5/P1BbNP2/3P4/1PP3PP/R1BQK2R w KQkq -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
pgn_nn_vs_material_g4_p69,1k4r1/8/1pb5/8/4r2P/N1P1n1KP/PP2PR2/R7 w - - 3 35,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,late_11_16+in_check,4,69,g3f3
validation_0108,8/p1pr1k2/4p2P/8/8/8/P1P2PP1/6K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,
suite_0058,8/3R4/8/5r2/3k4/3p4/P5KP/8 b - - 0 1,training/data/test_fens_60.txt,fen_suite,endgame_2_10+in_check,,,
pgn_nn_vs_material_g9_p71,1r3k1r/p5b1/1p3nQn/6P1/2p5/P6P/KPP2P2/6q1 w - - 3 36,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,middle_17_23+capture_rich,9,71,c2c3
validation_0060,8/2k5/8/4n3/8/5P1P/3K2P1/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
validation_0114,2r5/p4p1k/2r5/5p1p/1p6/4P3/PB1K2P1/2b2R2 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+in_check,,,
pgn_v1_1_vs_v1_g7_p101,8/8/1p6/1Q1K2RP/3P4/8/2k1n2r/8 w - - 3 51,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+capture_available,7,101,b5a4
validation_0030,8/7p/RP4pk/8/P7/7P/1rr5/7K w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
validation_0100,8/8/1K6/B7/k2p3P/3B4/P1P3N1/5N2 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
pgn_nn_vs_material_g4_p78,1k3r2/8/1pb1r3/6K1/7P/N1P1n2P/PP2PR2/R7 b - - 12 39,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,late_11_16+capture_available,4,78,f8f2
pgn_nn_vs_stockfish_2000_g7_p105,1k1q1r2/1p1P4/6p1/2pR3p/p6P/2P5/8/K7 w - - 0 53,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,late_11_16+capture_available,7,105,d5d1
validation_0062,K7/8/2B2kq1/8/3Q4/1B6/8/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+in_check,,,
validation_0158,2r2k2/5pp1/4p1p1/5n2/8/1B3P1P/PP3KP1/3R4 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
suite_0031,r4rk1/pp3ppp/6q1/3Ppb2/4N3/P2R1P2/1PQ3PP/1K2R3 b - - 0 1,training/data/test_fens_60.txt,fen_suite,middle_17_23+capture_available,,,
validation_0078,5k2/8/6p1/3K1p2/5P2/1P1Bb3/8/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+capture_available,,,
validation_0018,8/8/p7/Pk6/1P5p/6r1/1K6/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+capture_available,,,
pgn_nn_vs_stockfish_2000_g1_p140,8/8/p7/K2k1p2/8/3p4/1q6/8 b - - 11 70,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,endgame_2_10+quiet,1,140,b2b5
validation_0399,1brr4/4qpk1/2p1bpp1/pn6/2NPP3/1P3BPp/1QN2P1P/2R1R1K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,
validation_0226,r3r1k1/1p1n1pp1/5n1p/4P3/2Np2b1/P5P1/3b2BP/R3R2K w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0342,r4rk1/1p3pbp/p2n3q/2Npn1p1/P2N4/1P3PPb/2P2BB1/1R1QR1K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,
validation_0088,6R1/8/1k5p/8/1K4r1/8/8/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+in_check,,,
pgn_nn_vs_material_g13_p73,1r3k1r/p4nb1/1p3nQ1/6P1/2p5/P1P4P/KP3P2/6q1 w - - 1 37,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,middle_17_23+capture_rich,13,73,g6f5
pgn_v1_1_vs_v1_g3_p36,r4k2/p4p1B/2pPb3/4n2N/8/2P2P2/R1PQ1KPP/8 b - - 2 18,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,middle_17_23+capture_available,3,36,e6a2
pgn_nn_vs_material_g18_p67,7R/1kp2p2/8/K7/2b1P2P/7P/PP6/RN3r2 w - - 3 34,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,late_11_16+quiet,18,67,h8f8
validation_0386,1rbqk2r/ppp2ppp/2nbpn2/3p4/3P1B2/2N1PP2/PPPQN1PP/R3KB1R w KQk -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
pgn_nn_vs_stockfish_full_g6_p39,1r4k1/2p1qpp1/p6p/3B4/Pp2PPb1/3QB3/1KP3PP/3R3R w - - 1 20,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_full.pgn,pgn,middle_17_23+capture_available,6,39,e3d4
pgn_nn_vs_material_g16_p47,2krr3/ppp2ppp/8/8/3n3P/1K5b/PPP4P/RNB4R w - - 6 24,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,middle_17_23+in_check,16,47,b3c3
validation_0028,2r5/6n1/8/6p1/1K3k2/1P6/2P4n/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+capture_available,,,
pgn_nn_vs_material_g7_p77,1r3k1r/p5b1/1p3nQ1/8/2p5/P1P4n/KP3P2/6q1 w - - 0 39,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,late_11_16+capture_available,7,77,g6g1
suite_0030,6k1/1p2qpp1/2pn3p/3p1b1P/p2P1Q1N/P1P5/1P3PP1/5BK1 b - - 0 1,training/data/test_fens_60.txt,fen_suite,middle_17_23+capture_available,,,
pgn_nn_vs_stockfish_2000_g9_p45,r1k4r/2pn2bp/b1p3q1/N4pB1/PP2p3/2P2N1Q/5PPP/R3R1K1 w - - 0 23,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_rich,9,45,a1d1
pgn_v1_1_vs_v1_g16_p23,8/2p5/3p3k/3P1K1P/B7/8/1b6/8 b - - 3 12,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+capture_available,16,23,h6h5
validation_0394,1qrr2k1/1b2bpp1/4p2p/p1p1P1n1/PpB1P3/1P1N1P2/4QBPP/2RR2K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,
pgn_v1_1_vs_v1_g12_p34,Q7/8/3p4/5kp1/8/1K5P/8/8 b - - 0 17,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,12,34,f5f4
validation_0204,4k1nr/4bpp1/4p3/pp1pP2p/2PP4/8/P3RPPP/1N4K1 b k -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
pgn_nn_vs_stockfish_2000_g9_p64,R7/1kp5/6N1/5pp1/PP6/3p4/5PPP/6K1 b - - 0 32,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,late_11_16+capture_available,9,64,c7c5
validation_0263,r6r/1b1k4/p4B1p/5N2/2p5/2N5/PPP2bPP/2K2R2 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0349,r1b1k1nr/ppqp1ppp/2nbp3/2p5/4PP2/2NP1NP1/PPP4P/R1BQKB1R b KQkq -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
pgn_v1_1_vs_v1_g7_p115,8/8/1p1K4/3Q2RP/8/4k3/4n2r/8 w - - 2 58,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,7,115,d5e5
pgn_v1_1_vs_v1_g19_p33,1n6/1k6/8/8/1P1N4/1K6/8/8 w - - 5 17,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,19,33,d4b5
validation_0277,3r3r/1k3p2/1Bq1p3/p2pPp2/P2Q1P2/2P3P1/1P4K1/R4R2 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
pgn_nn_vs_material_g20_p6,rnbqkbnr/ppp2ppp/8/3pp3/8/7N/PPPPPPPP/RNBQKB1R b KQkq - 1 3,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,20,6,b8c6
pgn_nn_vs_material_g13_p30,r1bq3r/p1ppkpbp/np4pn/1N2P1N1/5B2/7P/PPP1QPP1/1K1R1B1R b - - 1 15,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,13,30,a6c5
validation_0212,2r1r1k1/pQ3p1p/6p1/4qb2/7P/4B3/P1P2PP1/1R2K2R b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
pgn_v1_1_vs_v1_g4_p32,r1b2kBQ/p4p2/3q1n2/3p4/8/1P3PN1/P2P2PP/2R4K b - - 0 16,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,middle_17_23+capture_available,4,32,f6g8
validation_0046,5n2/6k1/3Q1b2/q7/8/p4P2/6PP/7K b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
pgn_nn_vs_stockfish_2000_g7_p16,rnbk1b1r/pp1pqp1p/5np1/2pP2B1/8/2N5/PPP1QPPP/2KR1BNR b - - 7 8,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_available,7,16,d7d6
pgn_nn_vs_stockfish_2000_g6_p46,1r4k1/p4p1p/2bb1p2/3p4/P7/1B2P3/1rP3PP/3RBK1R b - - 1 23,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,middle_17_23+capture_rich,6,46,d6c5
validation_0228,4Rrk1/p5p1/7p/q1p5/2Pp2P1/1P3r1P/P3Q1K1/4R3 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,
pgn_nn_vs_material_g1_p5,rnbqkbr1/pppppppp/7n/8/3PP3/8/PPP2PPP/RNBQKBNR w KQq - 1 3,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,1,5,b1c3
suite_0013,r1bqkbnr/ppp1pppp/2np4/8/8/1PN2N2/P1PPPPPP/R1BQKB1R b KQkq - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+quiet,,,
validation_0003,8/6pk/1q5p/8/6P1/4K2P/3R4/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+in_check,,,
validation_0358,r3kb1r/6pp/p2p1p2/q1p1nP2/2p1PB2/2N5/PPPR2PP/2K1Q2R w kq -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
validation_0068,8/8/6Q1/5p2/5P2/2Kr2P1/4k2P/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+in_check,,,
pgn_nn_vs_stockfish_2000_g3_p6,rnbqkbnr/ppp2ppp/3p4/4P3/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_available,3,6,d8e7
validation_0190,8/3k1r2/p1pP4/2P5/1P6/4B1KR/8/1b6 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,
pgn_nn_vs_stockfish_2000_g4_p29,r1b2rk1/pp3ppp/2n1p3/3p2N1/2P2B2/1q2P3/PP1KB1PP/5R1n w - - 0 15,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_rich,4,29,a2b3
validation_0240,2kr4/ppp2ppp/2n5/5N2/1P3N2/P5PP/3r1P2/R5K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0229,2Rr2k1/p4ppp/5n2/4p1B1/1p1n4/6P1/PP3PBP/3R1K2 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0339,rnbqk2r/ppp1bpp1/7p/4p3/4n2P/2NP4/PPP2PP1/R1BQKB1R w KQkq -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
validation_0379,rqb2rk1/pp2nppp/4p3/3pP3/1Pn3P1/R2B1N2/1BPQ1P1P/4K2R w K -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
pgn_nn_vs_stockfish_full_g2_p16,r1bqkb1r/2ppnpp1/p1n4p/3Np3/Pp2P3/1B3N2/1PPP1PPP/R1BQK2R b KQkq - 1 8,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_full.pgn,pgn,high_material_24_32+capture_available,2,16,e7d5
validation_0369,r4rk1/p1p3pp/2p5/2bqP3/2bP1pQ1/2P2N2/PP4PP/R1B1K2R w KQ -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,
validation_0205,1b6/4qpk1/6p1/1p1P4/p3p2r/1PP2Q1P/P1B3P1/5R1K w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,
validation_0063,8/8/2p2k2/p7/2B2P2/P7/8/6K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
validation_0091,8/1pk5/p7/8/r4P2/3R4/3K4/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
validation_0027,8/5p2/6p1/p6p/7P/3K2P1/1k3P2/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
validation_0398,rn1q1rk1/pbp1bpp1/1p2pn1p/3p4/3P3B/4PN2/PPPNBPPP/R2Q1RK1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
pgn_nn_vs_material_g7_p79,1r3k1r/p5b1/1p3n2/8/2p5/P1P5/KP3P2/6n1 w - - 0 40,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,late_11_16+quiet,7,79,a2b1
pgn_nn_vs_stockfish_2000_g1_p57,7R/p3k1p1/p2bb3/q1p1pp1B/2Pp4/8/P2N1PPP/2B1R1K1 w - - 6 29,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,middle_17_23+capture_available,1,57,h8h7
validation_0324,2k4r/ppqr1ppp/2pbpnb1/6B1/3PN3/3B3P/PPP2PP1/R2QR1K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
pgn_nn_vs_stockfish_full_g5_p6,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_full.pgn,pgn,high_material_24_32+capture_available,5,6,g8f6
validation_0244,4r1k1/6p1/6Pp/2Rp1p1P/1n1PpP2/pP6/P4B2/1K6 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0089,8/7B/3k4/8/6KP/6P1/8/4b3 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
validation_0383,q4rk1/1ppn1pp1/r2pb2p/8/1bPBP1P1/1N3N1P/p1Q1BP2/R4RK1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
pgn_nn_vs_stockfish_2000_g1_p31,r1b2b1r/ppq2kp1/5p2/PBppp2p/8/B7/P1PN1PPP/1R1QR1K1 w - - 2 16,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_available,1,31,c2c4
pgn_nn_vs_stockfish_2000_g5_p9,r1bqkb1r/pppp1ppp/2n1p3/3nP3/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_available,5,9,c3d5
validation_0013,2k5/4r3/2K5/8/8/7Q/8/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+in_check,,,
pgn_v1_1_vs_v1_g4_p39,r1b1k1n1/p4p2/3Q4/3p3N/8/1P3P2/P2q2PP/2R4K w - - 2 20,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,middle_17_23+capture_available,4,39,h5g7
validation_0150,8/2p3k1/6p1/p2K4/P3p1Bb/2P1P3/5P2/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
suite_0028,1r2rk2/6bR/3pp3/p2R1p2/1pB3P1/1P6/P7/1K6 w - - 0 1,training/data/test_fens_60.txt,fen_suite,late_11_16+capture_rich,,,
validation_0083,3k4/1P6/B7/1P2K3/8/8/P7/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
pgn_nn_vs_material_g15_p7,rnbqkb1r/pppppppp/7n/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQq - 3 4,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,15,7,g1f3
validation_0139,4r3/K5p1/3Bkp2/PR2p2p/1p5P/1b4P1/5P2/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_rich,,,
pgn_v1_1_vs_v1_g21_p36,8/8/2K2k1R/P7/r7/8/6p1/8 b - - 1 18,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+in_check,21,36,f6g7
suite_0026,8/4pp2/p5pp/P1RPk3/6PP/5P2/r7/5K2 w - - 0 1,training/data/test_fens_60.txt,fen_suite,late_11_16+quiet,,,
pgn_nn_vs_stockfish_2000_g2_p34,rbbq1rk1/pp3pp1/4P2p/5n2/1P6/P1N2N2/B4KPP/R1BQR3 b - - 0 17,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_rich,2,34,d8b6
suite_0020,3r1rk1/pb5p/npq1pbp1/5p2/2PBp3/PP2P1N1/B2RQPPP/3R2K1 b - - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+capture_available,,,
pgn_v1_1_vs_v1_g5_p11,r1b2rk1/1pp3p1/2n5/p1p1pp2/2P3pP/1PB1P3/P2P1PP1/RB2K2R w KQ - 0 6,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,high_material_24_32+capture_available,5,11,b1c2
validation_0318,r1b2r2/pp1n2p1/2n1pk2/1N1p2N1/1q1p1P1P/2PQ4/PP4P1/R3K2R b KQ -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,
suite_0003,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+capture_available,,,
suite_0016,r2q1r2/p1pnbk2/2p1b3/3pPp2/5Bp1/2NB2Q1/PPP2PP1/R3R1K1 w - - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+capture_available,,,
pgn_v1_1_vs_v1_g9_p11,5b2/8/p1p1k3/1p4pp/1P2P3/2PNK2P/1P6/8 w - - 2 6,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+quiet,9,11,e3f3
validation_0149,7k/2p4P/3p3q/P1pP4/2P4Q/P6K/8/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
validation_0259,rnb3k1/pp2brp1/1q6/3nN2Q/8/6N1/PPP3PP/R1B4K w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0167,8/p7/1b4kp/1R6/P4KP1/1P6/1r4BP/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
pgn_nn_vs_material_g2_p15,r3kb1r/ppp1qppp/2n2n2/3p1b2/4p3/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 8,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+quiet,2,15,f3g5
pgn_v1_1_vs_v1_g2_p162,5K2/8/8/8/4k1b1/q7/8/8 w - - 24 82,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+in_check,2,162,f8e8
pgn_nn_vs_stockfish_2000_g2_p156,5r2/8/8/2k2P2/6K1/8/3R4/8 b - - 2 78,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,endgame_2_10+capture_available,2,156,f8g8
pgn_v1_1_vs_v1_g14_p12,1k4r1/8/p2Q1Bp1/2ppP1P1/8/2K1P3/Pr2bp2/8 b - - 4 6,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+in_check,14,12,b8a7
validation_0243,r1k5/pp3p1p/8/2b3B1/3P4/3P4/PP4rP/R2K3R b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,
validation_0230,1k1r3r/ppp3p1/1q6/6p1/3pP2p/P2n1P1Q/1P1B2PP/R3R2K w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0015,8/6k1/6p1/5pKp/4p2P/1R3rP1/8/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+capture_available,,,
validation_0169,6R1/4k3/1r6/2r4p/3p2P1/3K4/P2B4/5R2 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
validation_0145,8/2r2p1p/4p3/3p2Pk/5R1P/6P1/4K3/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
suite_0041,2N5/p3k3/4P2p/4r3/8/8/n5P1/5RK1 b - - 0 1,training/data/test_fens_60.txt,fen_suite,endgame_2_10+in_check,,,
suite_0019,r1bqr1k1/pp3pp1/2p2n1p/P1bPn3/3N1B2/1BN5/1PP2PPP/R2Q1RK1 b - - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+capture_rich,,,
validation_0341,r1bqkb1r/4nppp/2n1p3/pp1pP3/3P4/PB3N2/1P3PPP/RNBQK2R w KQkq -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
validation_0096,8/6Q1/8/6P1/5p2/1pr5/1kpR4/3q2K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+in_check,,,
validation_0191,4k3/pb3nQ1/1p3P1p/2p4P/5q2/2P5/PP4P1/7K w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
pgn_v1_1_vs_v1_g8_p107,8/8/8/8/8/2K3p1/8/5k2 w - - 0 54,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,8,107,c3c4
validation_0242,r1b5/2qp1k2/2pbp3/p5Q1/8/8/PPP3PP/1K1R1B1R w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0208,2r1k2r/p4ppp/b7/8/1b1Np3/2N1P1P1/P2K1P1P/R1R5 w k -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+quiet,,,
